ID,Contract Number,Program Area,Award Year,Project Title,Organization Name,Project Description,Awarded Amount,Pledged Match Amount,Seattle Electoral District,Neighborhood District
957,EBF9717,School Beautification,1997,Orca Garden Project,Orca at Columbia Elementary PTSA,,840,0,,Unknown
959,EBF9719,School Beautification,1997,Wing Luke Garden Project,Wing Luke Elementary PTSA,,1000,0,,Southwest
1392,S90079,Small and Simple Projects Fund,1991,Traffic Circle 22nd & E Lynn,Montlake Community Club,Constructed new traffic circle.,3461,3292,,Northeast
952,EBF9712,School Beautification,1997,Garden and Art Project,Washington Middle School PTSA,,1000,0,,Unknown
961,EBF9721,School Beautification,1997,Lawton Garden Project,Lawton Elementary PTSA,,1000,0,,Unknown
519,B9546,Large Projects Fund,1994,Webster Playground Project,Groundswell Northwest,To restore and improve a community playground on the grounds of the old Webster School.,49872,53579,,Ballard
1977,S97011,Small and Simple Projects Fund,1997,Urban Naturescaping Project,Cascade Neighborhood Council,,4837,4957,,Lake Union
958,EBF9718,School Beautification,1997,Planter Boxes,Whitworth Elementary PTSA,,618,0,,Southeast
2063,S98007,Small and Simple Projects Fund,1998,Immaculate P-Patch,Cherry Hill Community Association,Establish a P-Patch on the NE corner of 18th Ave. & E. Columbia Street.,4911,8570,,Central
900,EBF9608,School Beautification,1996,Butterfly Garden,Whittier Elementary PTSA,Creation of a butterfly garden and development of a butterfly corridor between school and Baker Park,500,1421,,Ballard
207,B8968,Large Projects Fund,1989,N Seattle Industrial Community,Neighborhood Business Council,Collected data and completed an economic and transportation analysis of industrial areas along the Ship Canal.,20000,24000,,Ballard
899,EBF9607,School Beautification,1996,Entryway Seatwall and Plantings,Whitman Middle School PTSA,Creation of an entryway seatwall with plantings at entrance to school.,1000,2290,,Ballard
206,B8967,Large Projects Fund,1989,Cluster Two Elementary School Library,Cluster Two PTSA & Associated Community Councils,"Purchased books for the libraries of Bryant, Leschi, TT Minor, and Wedgwood schools.",5000,7782,,Northeast
164,B8925,Large Projects Fund,1989,Fremont Business District Plan,The Gilmore Research Grp,"Developed an in depth economic assessment of retail business area, resulting in the Fremont Revitalization Plan.",26325,31000,,Lake Union
158,B8919,Large Projects Fund,1989,On Our Own Yard Service,South Park Area Redevelopment Committee,"Assisted elderly, handicapped, and low-to-moderate-income clients in maintaining their yards.",21035,21035,,Greater Duwamish
216,B9008,Large Projects Fund,1990,Madrona Playfield Playground,Department of Parks and Recreation,Installed new play equipment and rehabilitated existing equipment.,5987,6213,,Central
224,B9016,Large Projects Fund,1990,Enterprise Development Project,Interim Community Development Association,"To create replicable models for fostering micro-enterprises, developing a worker-owned cooperative (sewing cd-bop).",12208,6702,,Downtown
223,B9015,Large Projects Fund,1990,Belltown P-Patch,Seattle Chinatown-International District PDA,Restored the mural on the south wall of the Bush Hotel.,6000,6003,,Downtown
1401,S90088,Small and Simple Projects Fund,1991,Denny Regrade Business Improvement Area,Denny Regrade Business Association,To develop an implementation plan to establish a Business Improvement Area for the Denny Regrade.    ,3000,2025,,Downtown
342,B9340,Large Projects Fund,1992,ID Community Organizing on Public Safety,International District Housing Alliance,Crime Block Watch Teams were organized in 15 apartment buildings in the International District.,24700,30805,,Downtown
5031,O08050,Small Sparks,2008,Dazzling Daffodils,Unknown,Neighbors on NW 75th Street near 6th Ave NW will plant approximately 500 daffodil bulbs while planting 22 Tree Fund trees.,240,900,,Northwest
1620,S93192,Small and Simple Projects Fund,1993,Eastlake Transportation Plan & Guideline,Fred Hutchinson Cancer Research,Conduct a public process and prepare Eastlake Transportation Plan and Guidelines.,5000,7520,,Lake Union
393,B9401,Large Projects Fund,1993,OVES Playgrnd Equipmt Project Phase III,Olympic View Elementary PTSA,A handicapped accessible play structure expansion to existing playground equipment.,22847,22847,,North
1795,S95054,Small and Simple Projects Fund,1995,Willow Creek Dechannelization,Thornton Creek Alliance,Removal of obstacles to fish passage near mouth of Willow Creek through in-creek project.,2500,5220,,North
906,EBF9614,School Beautification,1996,Bird Sanctuary,Rainier View Elementary PTSA,"Creation of a bird sanctuary with plantings, bird bath, bird houses, and benches.",1000,1790,,Southeast
421,B9429,Large Projects Fund,1993,Rainier Valley Cultural Heritage Museum,South East Effective Development,"Purchased the historic Christian Science Church for use as a performing arts center, meeting space and historic museum.",90000,115349,,Southeast
905,EBF9613,School Beautification,1996,Bronze Tiles,Emerson Elementary PTSA,Installation of global play bronze tile mural on playscape.,950,0,,Southeast
1642,S94022,Small and Simple Projects Fund,1994,Picture our Diversity,High Point Res Initiative Association,Framed and displayed the pictures of various residents and service providers.,965,971,,Delridge
205,B8966,Large Projects Fund,1989,Community Council Development,Neighborhood House," Increased resident participation in the community councils at the Seattle Housing Authority garden communities (Yesler Terrace, Rainier Vista, High Point, Holly Park).",34000,24000,,Delridge
201,B8962,Large Projects Fund,1989,Morgan Junction Beautification,Morgan Junction Community Association,Complete two project activities:  (1) to hang 40-80 flower baskets from utility poles or brackets attached to businesses and (2) to plant flower bulbs in a City owned triangle.,6305,9695,,Southwest
189,B8950,Large Projects Fund,1989,Business District Welcome Sign,Seattle Department of Transportation,Installed Business District Welcome Signs: (1) Rainier and Graham; (2) Rainier & Bennett; (3) 48th & Orcas.,627,300,,Southeast
199,B8960,Large Projects Fund,1989,Kitchen Renovations,Senior Center of West Seattle,Completed a kitchen renovation at the West Seattle Senior Center.,45500,49532,,Southwest
904,EBF9612,School Beautification,1996,Landscaping,Beacon Hill Elementary PTA,Development of landscaping plan and installation in front and south of school.,995,2030,,Greater Duwamish
902,EBF9610,School Beautification,1996,Landscaping,Lowell Elementary PTSA,Beautification of the outer perimeter of school including addition of topsoil and plantings.,1000,1697,,East
898,EBF9606,School Beautification,1996,Landscaping,John Rogers Elementary PTSA,New plantings in existing beds and addition of two planter boxes with perennials and drought tolerant plants.,1000,1110,,North
897,EBF9605,School Beautification,1996,Benches/Landscaping,Graham Hill Elementary PTSA,"Grounds clean-up, new plantings, and installation of three benches",1000,2082,,Southeast
912,EBF9620,School Beautification,1996,Native Plantings,West Woodland Elementary PTSA,"Clean-up and revegetation of 4,000 square feet of school grounds with NW native plantings.",1000,6855,,Ballard
938,EBF9646,School Beautification,1996,Vegetable Garden,Fairmont Park School Parent Organization,Construction of raised beds for vegetables and flowers and construction of worm bins.,970,2500,,Southwest
202,B8963,Large Projects Fund,1989,Murals Of West Seattle,Junction Development Community of West Seattle,Painted four murals on buildings in West Seattle depicting the contributions to history and culture of the area through murals.  Locations: California SW at SW Morgan; California at SW Graham; 4711 44th SW; 4748 44th Ave SW.,25000,25000,,Southwest
197,B8958,Large Projects Fund,1989,Junction Banner Program,West Seattle Junction Association,Placed 20 banners.,5198,7762,,Southwest
1649,S94029,Small and Simple Projects Fund,1994,Powerhouse Asbestos Removal,Fremont Arts Council,To remove asbestos from B.F. Day School's Powerhouse so that a community arts center can be created for the Fremont neighborhood.,5000,19295,,Lake Union
1721,S94102,Small and Simple Projects Fund,1994,Economic Action Plan,West Seattle Junction Association,"The applicant proposes to hold an ""economic summit"" for the businesses and residents of the West Seattle Junction neighborhood.",5000,13320,,Southwest
196,B8957,Large Projects Fund,1989,Off Street Security Lighting,Seattle Housing Authority, Assessing community security lighting and installing lights where security is in jeopardy.  Goal is to reduce crime and drug activities by enhancing security lighting.,8795,0,,Delridge
228,B9020,Large Projects Fund,1990,Neighborhood Needs Assessment Report,Eastlake Community Council,Conducted a series of neighborhood workshops and administered a survey as part of the research for a needs assessment.  Produced the Eastlake Needs Assessment report.,6635,6645,,Lake Union
227,B9019,Large Projects Fund,1990,Building Boats: For Kids and Communities,Center for Wooden Boats,Students of AS#1 built ten sailboats for use of school children and the greater Seattle community and the Lake Union Floating Homes Assn.,5000,5400,,Lake Union
260,B9053,Large Projects Fund,1990,Arbor Heights Community Playground Structure,Arbor Heights Elementary School PTSA,Installed playground equipment at Arbor Heights Elementary School.,7662,10711,,Southwest
937,EBF9645,School Beautification,1996,Landscaping,Olympic View Elementary PTSA,"Renovation of northwest and southwest flower beds, improved plantings at school entrance, and planting 8 crab apple trees.",1000,2304,,North
195,B8956,Large Projects Fund,1989,Skills Assessment and Needs Survey,Neighborhood House,"After identifying what resident skills are needed to manage High Point, a survey will be designed and administered to residents to: (1) determine what skills exist among residents, and (2) determine what services are needed by the High Point community.  ",5000,5000,,Delridge
259,B9052,Large Projects Fund,1990,Alki Playground Expansion,Alki Elementary PTSA,Installed a handicap-accessible play equipment at the Alki Elementary School/Alki Playfield and Alki Recreation Center playfield.,20820,25780,,Southwest
193,B8954,Large Projects Fund,1989,West Seattle Weather Watch,Alki Community Council,"Created a tiled landing park,  including a 16' bench, a column with weather-related instruments, historic pictures, and charts, topped with a weather vane.  Planted shore plants along existing sidewalk and a new pathway to the beach.",20865,23985,,Southwest
936,EBF9644,School Beautification,1996,Vegetable Garden,Hamilton Middle School PTSA,Construction of a raised bed vegetable garden.,750,850,,Lake Union
192,B8953,Large Projects Fund,1989,Alki Traffic/Parking Study,Alki Community Council,"Gathered data pertaining to traffic patterns and parking in the Alki commercial area, conducted surveys, held workshops/meetings for citizen input, resulting in a final report with recommended alternatives.",2500,2500,,Southwest
200,B8961,Large Projects Fund,1989,Morgan Junction Street Tree Planting,Morgan Junction Community Association,Planted 30 new trees.,4895,5550,,Southwest
146,B8907,Large Projects Fund,1989,Broadway Maintenance & Amenities Equipment,Broadway Business Improvement Association,Purchased maintenance equipment used for the regular clean up and maintenance of the Broadway Business Area.,4128,24000,,East
935,EBF9643,School Beautification,1996,Storage Shed,Green Lake Elementary PTSA,Construction of storage shed on playground.,1000,1000,,Northwest
154,B8915,Large Projects Fund,1989,Chinatown/International District Festival Banners,International District Housing Alliance,Manufactured three curb to curb festival banners used during festivals.,5000,4550,,Downtown
153,B8914,Large Projects Fund,1989,Downtown Public Restroom Study Phase II,Downtown Human Services Council,"Developed a downtown public rest room, hygiene, and signage action plan.",7814,7875,,Downtown
151,B8912,Large Projects Fund,1989,Squire Park Signs,Seattle Department of Transportation,To install Welcome to Squire Parks signs in 7 to 9 locations.,300,300,,Central
174,B8935,Large Projects Fund,1989,N University Way Beautification,Seattle Department of Transportation,Planted 11 hawthorne trees on both sides of street along a two-block commercial area.,2400,2409,,Northeast
188,B8949,Large Projects Fund,1989,,Variety Boys & Girls Club,Constructed a playfield (phase 2 of 3) adjacent to Rainier Vista Boys & Girls Club.,100000,103250,,Southeast
187,B8948,Large Projects Fund,1989,Rainier Vista Block Watch/Security II,Rainier Vista Community Council,"Assessed the community security lighting, installed lights where security is in jeopardy.",8000,0,,Southeast
186,B8947,Large Projects Fund,1989,Social Health & Crime Prevention Services,Mount Baker Community Club,Formed a resident planning group at Mt. Baker Village Apartments to determine needs of residents for social/health services and crime prevention programs.,23362,11681,,Southeast
185,B8946,Large Projects Fund,1989,Genesee Monument,South East Effective Development,"Design, cast, fabricate & install a 16' bronze, steel, marble and glass sculpture, by artist Marvin Oliver, at Columbia Library Park.",15500,15500,,Southeast
184,B8945,Large Projects Fund,1989,Grassroots Initiative,S.End Seattle Community Organization," Organized a new community organization in Dunlap & Brighton neighborhoods; assessed neighborhood concerns and addressed priorities, such as low quality/high cost food retailers in the neighborhood.",25000,12500,,Southeast
182,B8943,Large Projects Fund,1989,Lawton Park Adopt-A-Park,Magnolia Garden Center,"Installed NW native flowering shrubs and ground covers at main entrance, edges of meadows and along pathway at W Thurman right-of-way.",3000,5190,,Magnolia/QA
191,B8952,Large Projects Fund,1989,Community Bulletin Board,Hillman City Neighborhood Association,Installed a 2' x 3' bulletin board.,100,290,,Southeast
180,B8941,Large Projects Fund,1989,Queen Anne Neighborhood Plan,Queen Anne Community Council,Update the 1978 Goals and Policies for Queen Anne Hill including preparing a limited action plan.,8000,12200,,Magnolia/QA
179,B8940,Large Projects Fund,1989,"Phinney Youth Activities Center Renovation, II",Phinney Neighborhood Association,"Renovated basement space at Phinney Neighborhood Center to provide two new bathrooms, a kitchen and a handicap accessible entry into the Youth Center.",28880,37290,,Northwest
178,B8939,Large Projects Fund,1989,Phinney Ridge P-Patch Community Garden,Human Services Department,"Created a P-patch community garden in a steep street right-of-way with twelve small, year- round garden plots, adjoined by a rest area with benches and shade trees.",13500,15000,,Northwest
177,B8938,Large Projects Fund,1989,Greebwood Elementary Playground Improvement,Greenwood Elementary School PTSA,Installed new play equipment.,8500,9000,,Northwest
176,B8937,Large Projects Fund,1989,Greenwood Signs Banner Beautification,Greater Greenwood Chamber of Commerce,Installed banners from 25 utility poles on Greenwood Avenue and 85th Streets.,3367,4083,,Northwest
175,B8936,Large Projects Fund,1989,University District Good Neighbors,Human Services Department,Litter pick-up throughout the University District's residential and business areas.,3400,3600,,Northeast
183,B8944,Large Projects Fund,1989,Magnolia Community Center Playground,Magnolia Community Club,"Restored and enhanced an existing children's playground, adding:  two play structures, tires, flag pole, concrete tiles, spring toys, and furniture.",18458,18458,,Magnolia/QA
198,B8959,Large Projects Fund,1989,College St. Ravine Restoration,Friends of College Street Ravine,Restored and re-naturalized a natural area and wildlife habitat in a ravine located on City owned right-of-way.,6600,10960,,Southwest
208,B8969,Large Projects Fund,1989,Southeast Planning Initiative,South East Effective Development,A joint community-city planning effort to produce a priorities list of community wide improvements and a community development plan for Southeast Seattle.,76000,38000,,Southeast
150,B8911,Large Projects Fund,1989,Inner City Drug Abuse Task Force,Central Area Motivation Program,"To create a drug free zone from Yesler to Cherry and from 23rd Ave to ML King, Jr  Way.  To implement, the Task Force will coordinate marches and rallies, distribute anti-drug buttons and stickers, set-up block watches and coordinate beautification projects.",25000,17260,,Central
149,B8910,Large Projects Fund,1989,Central Area Business Awareness,Central Area Chamber of Commerce,"Accomplished four activities:  produced and distributed quarterly Central Area Resource Directory, Chamber brochure, newsletter (two issues) and quarterly calendar of events (4 issues).",10600,10610,,Northeast
155,B8916,Large Projects Fund,1989,International District Community Organizing,Interim Community Development Association,"Organized nine tenant council in public housing projects, private apartment buildings, and residential hotels.",25000,18950,,Downtown
